code,item_url,full_name,name
zstoken,https://www.feixiaohao.com/currencies/zstoken/,钻石币,ZS
ocommunitychain,https://www.feixiaohao.com/currencies/ocommunitychain/,O‘Community Chain,OCC
divi,https://www.feixiaohao.com/currencies/divi/,Divi,DIVI
humanscape,https://www.feixiaohao.com/currencies/humanscape/,Humanscape,HUM
drinkchain,https://www.feixiaohao.com/currencies/drinkchain/,DrinkChain,DRINK
wrapped-bitcoin,https://www.feixiaohao.com/currencies/wrapped-bitcoin/,Wrapped Bitcoin,WBTC
livingthegrace,https://www.feixiaohao.com/currencies/livingthegrace/,辣条哥,LTG
kava,https://www.feixiaohao.com/currencies/kava/,Kava,KAVA
balancer,https://www.feixiaohao.com/currencies/balancer/,Balancer,BAL
thorchain,https://www.feixiaohao.com/currencies/thorchain/,THORChain,RUNE
husd,https://www.feixiaohao.com/currencies/husd/,HUSD,HUSD
zb,https://www.feixiaohao.com/currencies/zb/,ZB积分,ZB
vollar,https://www.feixiaohao.com/currencies/vollar/,Vollar,VDS
aurora,https://www.feixiaohao.com/currencies/aurora/,极光链,AOA
quant,https://www.feixiaohao.com/currencies/quant/,Quant,QNT
mixin,https://www.feixiaohao.com/currencies/mixin/,Mixin,XIN
gatechaintoken,https://www.feixiaohao.com/currencies/gatechaintoken/,Gatechain Token,GT
bcx,https://www.feixiaohao.com/currencies/bcx/,比特无限,BCX
irisnet,https://www.feixiaohao.com/currencies/irisnet/,IRISnet,IRIS
uenc,https://www.feixiaohao.com/currencies/uenc/,能量链,UENC
odin,https://www.feixiaohao.com/currencies/odin/,ODIN,ODIN
solusparagula,https://www.feixiaohao.com/currencies/solusparagula/,苏格拉底,SPA
